ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:02:41Z,formbricks-587b784596-qlf9g,formbricks,4,459,1,Running
2026-05-19T14:02:41Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:02:41Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:02:41Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:02:41Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5,3031,0,Running
2026-05-19T14:02:41Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:02:48Z,formbricks-587b784596-qlf9g,formbricks,4,459,1,Running
2026-05-19T14:02:48Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:02:48Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:02:48Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:02:48Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5,3031,0,Running
2026-05-19T14:02:48Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:02:55Z,formbricks-587b784596-qlf9g,formbricks,3,459,1,Running
2026-05-19T14:02:55Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:02:55Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:02:55Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:02:55Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5,3031,0,Running
2026-05-19T14:02:55Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:03:03Z,formbricks-587b784596-qlf9g,formbricks,3,459,1,Running
2026-05-19T14:03:03Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:03:03Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:03:03Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:03:03Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5,3031,0,Running
2026-05-19T14:03:03Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:03:10Z,formbricks-587b784596-qlf9g,formbricks,3,459,1,Running
2026-05-19T14:03:10Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:03:10Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:03:10Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:03:10Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5412,3041,0,Running
2026-05-19T14:03:10Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:03:17Z,formbricks-587b784596-qlf9g,formbricks,3,459,1,Running
2026-05-19T14:03:17Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:03:17Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:03:17Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:03:17Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5412,3041,0,Running
2026-05-19T14:03:17Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:03:24Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:03:24Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:03:24Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:03:24Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:03:24Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5968,3042,0,Running
2026-05-19T14:03:24Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,8,0,Running
2026-05-19T14:03:32Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:03:32Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:03:32Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:03:32Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
