LAST SEEN   TYPE      REASON                   OBJECT                                                MESSAGE
68m         Warning   FailedScheduling         pod/formbricks-587b784596-xmq6n                       0/6 nodes are available: 2 node(s) had untolerated taint(s), 4 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
68m         Warning   FailedScheduling         pod/license-server-stage-764fd5c8f9-ckrbz             0/6 nodes are available: 2 node(s) had untolerated taint(s), 4 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
60m         Normal    Scheduled                pod/formbricks-587b784596-zgjn5                       Successfully assigned formbricks-stage/formbricks-587b784596-zgjn5 to i-0528d29b08ce17704
60m         Normal    SuccessfulCreate         replicaset/formbricks-587b784596                      Created pod: formbricks-587b784596-zgjn5
60m         Normal    Evicted                  pod/formbricks-587b784596-5s7x7                       Evicted pod: Forceful Termination
59m         Normal    Killing                  pod/license-server-stage-764fd5c8f9-j4hl9             Container license-server failed liveness probe, will be restarted
59m         Warning   Unhealthy                pod/license-server-stage-764fd5c8f9-j4hl9             Liveness probe failed: Get "http://10.2.77.145:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Warning   Unhealthy                pod/license-server-stage-764fd5c8f9-j4hl9             Readiness probe failed: Get "http://10.2.77.145:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Normal    Killing                  pod/formbricks-587b784596-qlf9g                       Container formbricks failed liveness probe, will be restarted
58m         Warning   Unhealthy                pod/formbricks-587b784596-qlf9g                       Liveness probe failed: Get "http://10.2.77.144:3000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Warning   Unhealthy                pod/formbricks-587b784596-qlf9g                       Readiness probe failed: Get "http://10.2.77.144:3000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Warning   Unhealthy                pod/formbricks-587b784596-qlf9g                       Readiness probe failed: Get "http://10.2.77.144:3000/health": read tcp 10.2.87.241:44216->10.2.77.144:3000: read: connection reset by peer
58m         Warning   Unhealthy                pod/formbricks-587b784596-zgjn5                       Readiness probe failed: Get "http://10.2.77.147:3000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Normal    Pulled                   pod/formbricks-587b784596-qlf9g                       Successfully pulled image "715841356175.dkr.ecr.eu-central-1.amazonaws.com/formbricks/formbricks:staging@sha256:f1f23d0a4a0d2c615ddf6184cef953c51d2abb69ee184aaee00837566f5c8192" in 375ms (375ms including waiting). Image size: 591955363 bytes.
58m         Normal    Pulling                  pod/formbricks-587b784596-qlf9g                       Pulling image "715841356175.dkr.ecr.eu-central-1.amazonaws.com/formbricks/formbricks:staging@sha256:f1f23d0a4a0d2c615ddf6184cef953c51d2abb69ee184aaee00837566f5c8192"
58m         Normal    Created                  pod/formbricks-587b784596-qlf9g                       Container created
58m         Normal    Started                  pod/formbricks-587b784596-qlf9g                       Container started
58m         Normal    Created                  pod/license-server-stage-764fd5c8f9-j4hl9             Container created
58m         Normal    Started                  pod/license-server-stage-764fd5c8f9-j4hl9             Container started
58m         Normal    Pulling                  pod/license-server-stage-764fd5c8f9-j4hl9             Pulling image "715841356175.dkr.ecr.eu-central-1.amazonaws.com/formbricks/license:staging@sha256:f84242c8bd295d585dc73f941db46036045c1db839915572483f2a193c039690"
58m         Normal    Pulled                   pod/license-server-stage-764fd5c8f9-j4hl9             Successfully pulled image "715841356175.dkr.ecr.eu-central-1.amazonaws.com/formbricks/license:staging@sha256:f84242c8bd295d585dc73f941db46036045c1db839915572483f2a193c039690" in 120ms (120ms including waiting). Image size: 361480604 bytes.
58m         Warning   Unhealthy                pod/license-server-stage-764fd5c8f9-j4hl9             Readiness probe failed: Get "http://10.2.77.145:3000/api/health": dial tcp 10.2.77.145:3000: connect: connection refused
58m         Normal    SuccessfullyReconciled   targetgroupbinding/k8s-formbric-formbric-d82098cb51   Successfully reconciled
58m         Warning   Unhealthy                pod/license-server-stage-764fd5c8f9-j4hl9             Startup probe failed: Get "http://10.2.77.145:3000/api/health": dial tcp 10.2.77.145:3000: connect: connection refused
58m         Normal    SuccessfullyReconciled   targetgroupbinding/k8s-formbric-licenses-9b55f7e334   Successfully reconciled
