ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:05:37Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:05:37Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:37Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:37Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:05:37Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6,3034,0,Running
2026-05-19T14:05:37Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:05:45Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:05:45Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:45Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:45Z,formbricks-hub-6d86596db9-7xckk,hub,1,7,0,Running
2026-05-19T14:05:45Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6,3034,0,Running
2026-05-19T14:05:45Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:05:52Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:05:52Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:52Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:52Z,formbricks-hub-6d86596db9-7xckk,hub,2,7,0,Running
2026-05-19T14:05:52Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6,3034,0,Running
2026-05-19T14:05:52Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:05:59Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:05:59Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:05:59Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:05:59Z,formbricks-hub-6d86596db9-7xckk,hub,2,7,0,Running
2026-05-19T14:05:59Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6,3034,0,Running
2026-05-19T14:05:59Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,4,9,0,Running
2026-05-19T14:06:07Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:06:07Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:07Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:07Z,formbricks-hub-6d86596db9-7xckk,hub,2,8,0,Running
2026-05-19T14:06:07Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,3620,3039,0,Running
2026-05-19T14:06:07Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:14Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:06:14Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:14Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:14Z,formbricks-hub-6d86596db9-7xckk,hub,2,8,0,Running
2026-05-19T14:06:14Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,3620,3039,0,Running
2026-05-19T14:06:14Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:21Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:21Z,formbricks-587b784596-zgjn5,formbricks,2,472,0,Running
2026-05-19T14:06:21Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:21Z,formbricks-hub-6d86596db9-7xckk,hub,2,8,0,Running
2026-05-19T14:06:21Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6138,3040,0,Running
2026-05-19T14:06:21Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:28Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:28Z,formbricks-587b784596-zgjn5,formbricks,2,472,0,Running
2026-05-19T14:06:28Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:28Z,formbricks-hub-6d86596db9-7xckk,hub,2,8,0,Running
2026-05-19T14:06:28Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6138,3040,0,Running
2026-05-19T14:06:28Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:36Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:36Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:36Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:36Z,formbricks-hub-6d86596db9-7xckk,hub,3,9,0,Running
2026-05-19T14:06:36Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5835,3039,0,Running
2026-05-19T14:06:36Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:43Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:43Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:43Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:43Z,formbricks-hub-6d86596db9-7xckk,hub,3,9,0,Running
2026-05-19T14:06:43Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5835,3039,0,Running
2026-05-19T14:06:43Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:50Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:50Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:50Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:50Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:06:50Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5963,3040,0,Running
2026-05-19T14:06:50Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:06:58Z,formbricks-587b784596-qlf9g,formbricks,3,458,1,Running
2026-05-19T14:06:58Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:06:58Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:06:58Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:06:58Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5963,3040,0,Running
2026-05-19T14:06:58Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:07:05Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:07:05Z,formbricks-587b784596-zgjn5,formbricks,6,472,0,Running
2026-05-19T14:07:05Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:05Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:05Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6205,3038,0,Running
2026-05-19T14:07:05Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:13Z,formbricks-587b784596-qlf9g,formbricks,6,458,1,Running
2026-05-19T14:07:13Z,formbricks-587b784596-zgjn5,formbricks,6,472,0,Running
2026-05-19T14:07:13Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:13Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:13Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6205,3038,0,Running
2026-05-19T14:07:13Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:20Z,formbricks-587b784596-qlf9g,formbricks,6,457,1,Running
2026-05-19T14:07:20Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:07:20Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:20Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:20Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5581,3039,0,Running
2026-05-19T14:07:20Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:27Z,formbricks-587b784596-qlf9g,formbricks,6,457,1,Running
2026-05-19T14:07:27Z,formbricks-587b784596-zgjn5,formbricks,5,472,0,Running
2026-05-19T14:07:27Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:27Z,formbricks-hub-6d86596db9-7xckk,hub,2,9,0,Running
2026-05-19T14:07:27Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5581,3039,0,Running
2026-05-19T14:07:27Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,8,0,Running
2026-05-19T14:07:35Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:07:35Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:07:35Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:35Z,formbricks-hub-6d86596db9-7xckk,hub,3,10,0,Running
2026-05-19T14:07:35Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5794,3040,0,Running
2026-05-19T14:07:35Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,8,0,Running
2026-05-19T14:07:42Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:07:42Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:07:42Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:42Z,formbricks-hub-6d86596db9-7xckk,hub,3,10,0,Running
2026-05-19T14:07:42Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5794,3040,0,Running
2026-05-19T14:07:42Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,8,0,Running
2026-05-19T14:07:49Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:07:49Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:07:49Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:07:49Z,formbricks-hub-6d86596db9-7xckk,hub,2,10,0,Running
2026-05-19T14:07:49Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6366,3041,0,Running
