ts_utc,pending,running,retryable,scheduled,completed_total,discarded_total,oldest_pending_age_s
2026-05-19T14:05:37Z,0,0,0,0,1,0,0
2026-05-19T14:05:40Z,0,1,0,0,1,0,0
2026-05-19T14:05:43Z,0,3,0,0,2,0,0
2026-05-19T14:05:45Z,0,4,0,0,4,0,0
2026-05-19T14:05:48Z,2,5,0,0,4,0,1
2026-05-19T14:05:51Z,2,5,0,0,6,0,2
2026-05-19T14:05:53Z,4,4,0,0,8,0,3
2026-05-19T14:05:56Z,5,5,0,0,9,0,4
2026-05-19T14:05:59Z,6,4,0,0,11,0,6
2026-05-19T14:06:01Z,8,5,0,0,11,0,7
2026-05-19T14:06:04Z,9,5,0,0,13,0,8
2026-05-19T14:06:07Z,10,5,0,0,14,0,10
2026-05-19T14:06:09Z,11,5,0,0,16,0,10
2026-05-19T14:06:12Z,14,5,0,0,16,0,13
2026-05-19T14:06:15Z,14,5,0,0,18,0,14
2026-05-19T14:06:17Z,16,5,0,0,19,0,15
2026-05-19T14:06:20Z,16,5,0,0,21,0,16
2026-05-19T14:06:22Z,19,5,0,0,21,0,19
2026-05-19T14:06:25Z,19,5,0,0,24,0,18
2026-05-19T14:06:28Z,21,5,0,0,24,0,21
2026-05-19T14:06:30Z,22,5,0,0,26,0,21
2026-05-19T14:06:33Z,23,5,0,0,28,0,22
2026-05-19T14:06:36Z,24,5,0,0,29,0,24
2026-05-19T14:06:38Z,25,5,0,0,31,0,24
2026-05-19T14:06:41Z,27,5,0,0,31,0,27
2026-05-19T14:06:43Z,27,6,0,0,33,0,27
2026-05-19T14:06:46Z,30,5,0,0,34,0,29
2026-05-19T14:06:49Z,30,5,0,0,36,0,30
2026-05-19T14:06:51Z,33,5,0,0,36,0,32
2026-05-19T14:06:54Z,33,5,0,0,39,0,32
2026-05-19T14:06:57Z,35,5,0,0,39,0,35
2026-05-19T14:06:59Z,36,5,0,0,41,0,35
2026-05-19T14:07:02Z,37,5,0,0,43,0,36
2026-05-19T14:07:05Z,38,5,0,0,44,0,38
2026-05-19T14:07:07Z,39,5,0,0,46,0,38
2026-05-19T14:07:10Z,42,5,0,0,46,0,41
2026-05-19T14:07:13Z,42,5,0,0,48,0,42
2026-05-19T14:07:15Z,44,5,0,0,49,0,43
2026-05-19T14:07:18Z,45,5,0,0,51,0,44
2026-05-19T14:07:20Z,47,5,0,0,51,0,47
2026-05-19T14:07:23Z,48,5,0,0,53,0,47
2026-05-19T14:07:26Z,50,5,0,0,54,0,49
2026-05-19T14:07:29Z,50,5,0,0,56,0,50
2026-05-19T14:07:31Z,53,5,0,0,56,0,52
2026-05-19T14:07:34Z,54,5,0,0,58,0,53
2026-05-19T14:07:37Z,55,5,0,0,59,0,55
2026-05-19T14:07:39Z,56,5,0,0,61,0,56
2026-05-19T14:07:42Z,57,5,0,0,63,0,56
2026-05-19T14:07:45Z,58,5,0,0,64,0,58
2026-05-19T14:07:47Z,61,5,0,0,64,0,60
2026-05-19T14:07:50Z,61,5,0,0,66,0,61
2026-05-19T14:07:52Z,62,5,0,0,68,0,61
2026-05-19T14:07:55Z,63,5,0,0,69,0,63
2026-05-19T14:07:57Z,66,5,0,0,69,0,66
