ts_utc,pod,container,cpu_milli,memory_mi,restarts,phase
2026-05-19T14:11:18Z,formbricks-587b784596-qlf9g,formbricks,4,457,1,Running
2026-05-19T14:11:18Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:18Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:18Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:18Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6110,3041,0,Running
2026-05-19T14:11:18Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:11:26Z,formbricks-587b784596-qlf9g,formbricks,2,457,1,Running
2026-05-19T14:11:26Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:11:26Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:26Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:26Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5848,3040,0,Running
2026-05-19T14:11:26Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:33Z,formbricks-587b784596-qlf9g,formbricks,2,457,1,Running
2026-05-19T14:11:33Z,formbricks-587b784596-zgjn5,formbricks,4,472,0,Running
2026-05-19T14:11:33Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:33Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:33Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5848,3040,0,Running
2026-05-19T14:11:33Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:40Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:11:40Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:40Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:40Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:40Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5695,3042,0,Running
2026-05-19T14:11:40Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:47Z,formbricks-587b784596-qlf9g,formbricks,3,457,1,Running
2026-05-19T14:11:47Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:47Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:47Z,formbricks-hub-6d86596db9-7xckk,hub,1,10,0,Running
2026-05-19T14:11:47Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5695,3042,0,Running
2026-05-19T14:11:47Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,6,9,0,Running
2026-05-19T14:11:55Z,formbricks-587b784596-qlf9g,formbricks,5,458,1,Running
2026-05-19T14:11:55Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:11:55Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:11:55Z,formbricks-hub-6d86596db9-7xckk,hub,10,11,0,Running
2026-05-19T14:11:55Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5582,3054,0,Running
2026-05-19T14:11:55Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:02Z,formbricks-587b784596-qlf9g,formbricks,5,458,1,Running
2026-05-19T14:12:02Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:12:02Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:02Z,formbricks-hub-6d86596db9-7xckk,hub,10,11,0,Running
2026-05-19T14:12:02Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,5582,3054,0,Running
2026-05-19T14:12:02Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:09Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:12:09Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:12:09Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:09Z,formbricks-hub-6d86596db9-7xckk,hub,8,13,0,Running
2026-05-19T14:12:09Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6324,3048,0,Running
2026-05-19T14:12:09Z,formbricks-hub-worker-65979d44f9-wlb7v,hub-worker,7,9,0,Running
2026-05-19T14:12:16Z,formbricks-587b784596-qlf9g,formbricks,4,458,1,Running
2026-05-19T14:12:16Z,formbricks-587b784596-zgjn5,formbricks,3,472,0,Running
2026-05-19T14:12:16Z,formbricks-cube-75c545885c-fvq82,cube,1,95,0,Running
2026-05-19T14:12:16Z,formbricks-hub-6d86596db9-7xckk,hub,8,13,0,Running
2026-05-19T14:12:16Z,formbricks-hub-embeddings-6fccdb4db9-57hrs,hub-embeddings,6324,3048,0,Running
